id,exam,year,subject,topic,difficulty,question,recency,difficulty_score
1,RRB NTPC,2022,Quantitative Aptitude,Data Interpretation,Easy,Analyse the bar graph and find the percentage change.,4,1
2,IBPS PO,2023,Reasoning,Blood Relation,Hard,A is the son of B. B is the daughter of C. How is A related to C?,3,3
3,SSC CGL,2025,English,Vocabulary,Medium,Choose the antonym of the given word.,1,2
4,RRB NTPC,2024,Reasoning,Coding Decoding,Easy,Decode the given word using the same logic as the example.,2,1
5,IBPS PO,2022,General Awareness,Science,Medium,Identify the SI unit of the given physical quantity.,4,2
6,SSC CHSL,2021,Reasoning,Blood Relation,Hard,A is the son of B. B is the daughter of C. How is A related to C?,5,3
7,IBPS PO,2025,General Awareness,Geography,Hard,Which river is the longest in India?,1,3
8,SSC CGL,2022,Reasoning,Blood Relation,Medium,Find the relationship between two persons based on the given statements.,4,2
9,IBPS PO,2023,General Awareness,Indian Polity,Easy,Which article of the Constitution deals with the given provision?,3,1
10,SSC CHSL,2025,English,Sentence Improvement,Medium,Improve the underlined part of the given sentence.,1,2
11,IBPS PO,2022,English,Grammar,Easy,Identify the error in the sentence.,4,1
12,SSC CHSL,2023,General Awareness,History,Medium,Identify the event associated with the given year.,3,2
13,RRB NTPC,2021,Quantitative Aptitude,Time and Work,Easy,A can complete a work in 600 days and B in 36 days. Find the time taken together.,5,1
14,SSC CGL,2024,Reasoning,Puzzle,Hard,Solve the seating arrangement puzzle based on given conditions.,2,3
15,RRB NTPC,2023,English,Cloze Test,Medium,Fill in the blanks to complete the passage meaningfully.,3,2
16,IBPS PO,2023,General Awareness,Static GK,Hard,Identify the national symbol described in the question.,3,3
17,SSC CGL,2024,English,Sentence Improvement,Hard,Improve the underlined part of the given sentence.,2,3
18,SSC CGL,2022,General Awareness,Current Affairs,Easy,Which event is currently in the news?,4,1
19,SSC CGL,2025,English,Cloze Test,Easy,Fill in the blanks to complete the passage meaningfully.,1,1
20,SSC CHSL,2021,General Awareness,History,Hard,Identify the event associated with the given year.,5,3
21,IBPS PO,2023,Quantitative Aptitude,Profit and Loss,Medium,A shopkeeper marks an item 5% above cost price. Find the marked price.,3,2
22,RRB NTPC,2021,Reasoning,Coding Decoding,Hard,Decode the given word using the same logic as the example.,5,3
23,IBPS PO,2025,Reasoning,Syllogism,Hard,"Based on the two statements, find the valid conclusion.",1,3
24,SSC CHSL,2022,General Awareness,History,Medium,Who founded the Maurya Empire?,4,2
25,SSC CHSL,2023,Quantitative Aptitude,Time and Work,Hard,Find the efficiency ratio of two workers given their individual work rates.,3,3
26,SSC CGL,2025,English,Cloze Test,Hard,Fill in the blanks to complete the passage meaningfully.,1,3
27,SSC CHSL,2024,General Awareness,History,Medium,Identify the event associated with the given year.,2,2
28,SSC CGL,2021,General Awareness,Indian Polity,Medium,Who is known as the chief architect of the Indian Constitution?,5,2
29,SSC CHSL,2023,Reasoning,Series,Easy,Find the missing number in the series.,3,1
30,IBPS PO,2023,General Awareness,Indian Polity,Medium,Who is known as the chief architect of the Indian Constitution?,3,2
31,SSC CHSL,2024,English,Grammar,Hard,Fill in the blank with the correct form of the verb.,2,3
32,IBPS PO,2022,Reasoning,Analogy,Hard,Choose the word that best completes the analogy.,4,3
33,IBPS PO,2025,English,Sentence Improvement,Hard,Improve the underlined part of the given sentence.,1,3
34,IBPS PO,2024,General Awareness,History,Medium,Who founded the Maurya Empire?,2,2
35,IBPS PO,2024,Quantitative Aptitude,Data Interpretation,Hard,Find the average from the given data table.,2,3
36,RRB NTPC,2025,Quantitative Aptitude,Algebra,Easy,Simplify the given quadratic expression.,1,1
